id,latitude,longitude,type
613,40.3797,-76.02872,recarea
614,41.11018,-75.71925,recarea
615,39.463855,-74.449351,recarea
616,40.719296,-74.525859,recarea
617,39.46386,-74.450623,recarea
618,40.704429,-74.496528,recarea
619,41.2174,-74.6091,recarea
620,39.601109,-74.344657,recarea
621,40.7307,-74.1787,recarea
622,36.0726355,-79.7919754,city
623,37.332,-79.987,recarea
624,36.781164,-80.023695,recarea
625,36.597462,-78.295855,recarea
626,35.08330154,-80.05000305,recarea
627,35.653636,-79.072489,recarea
628,35.941843,-78.582571,recarea
629,36.15,-81.23333,recarea
630,36.2956836,-76.2247697,city
631,35.45196,-76.174606,recarea
632,35.70830154,-75.5,recarea
633,42.098698,-75.9125187,city
634,39.3995067,-84.5613428,city
635,40.17683,-82.957525,recarea
636,38.789431,-84.170429,recarea
637,39.620281,-83.213713,recarea
638,40.358659,-83.071373,recarea
639,39.251138,-83.351459,recarea
640,39.49025,-84.058414,recarea
641,39.95,-83.74667,recarea
642,38.95363,-84.085687,recarea
643,39.260398,-84.49534,recarea
644,37.993583,-84.214053,recarea
645,38.77667,-84.965,recarea
646,38.275039,-85.761979,recarea
647,38.21,-84.87167,recarea
648,35.4094178,-80.5800049,city
649,34.07326,-81.124,recarea
650,34.503984,-80.22502,recarea
651,39.9622601,-83.0007065,city
652,39.391153,-81.420632,recarea
653,38.68187,-82.185425,recarea
654,38.918005,-81.913301,recarea
655,40.151377,-80.706506,recarea
656,39.418,-82.299,recarea
657,41.3834,-82.5149,recarea
658,39.118163,-81.743562,recarea
659,39.99167,-82.08,recarea
660,40.50742,-82.585382,recarea
661,39.54167,-82.05833,recarea
662,39.355021,-81.339918,recarea
663,40.157293,-81.84903,recarea
664,40.35167,-82.09,recarea
665,40.527126,-81.286245,recarea
666,40.65833,-81.43,recarea
667,40.741658,-82.364764,recarea
668,40.267969,-81.277485,recarea
669,40.562473,-81.41363,recarea
670,40.725,-82.15333,recarea
671,40.19,-81.21333,recarea
672,40.604926,-82.319932,recarea
673,39.9269,-81.446545,recarea
674,40.35833,-81.22667,recarea
675,40.634911,-81.557657,recarea
676,40.466762,-81.193541,recarea
677,38.647038,-82.862493,recarea
678,40.7092836,-73.6230362,city
679,35.2272086,-80.8430827,city
680,40.7944504,-77.8616386,city
681,40.96,-78.52333,recarea
682,40.43333,-78.0,recarea
683,40.467127,-79.367528,recarea
684,40.715,-79.51,recarea
685,41.560481,-78.596284,recarea
686,40.239585,-79.449224,recarea
687,40.922934,-79.279703,recarea
688,41.475417,-79.444567,recarea
689,35.0525759,-78.878292,city
690,34.624727,-78.575626,recarea
691,40.6022059,-75.4712794,city
692,41.4086874,-75.6621294,city
693,33.9597677,-83.376398,city
694,33.661667,-82.197222,recarea
695,38.4733823,-77.9961275,city
696,37.531773,-78.271589,recarea
697,39.2156213,-76.8582049,city
698,40.0455918,-86.0085955,city
699,39.3642852,-74.4229351,city
700,39.099705,-74.87959,recarea
701,40.2203074,-74.7659,city
702,34.2576067,-88.7033859,city
703,35.49865,-89.261065,recarea
704,40.75839,-82.5154471,city
705,41.265,-80.46333,recarea
706,41.607571,-83.209518,recarea
707,41.61669922,-83.21669769,recarea
708,41.045537,-80.999442,recarea
709,41.74969864,-83.10970306,recarea
710,41.3,-80.75833,recarea
711,41.154903,-81.076824,recarea
712,38.3505995,-81.6332812,city
713,38.52808,-81.914617,recarea
714,38.252824,-81.556266,recarea
715,38.191804,-81.371416,recarea
716,38.305273,-82.413476,recarea
717,37.641393,-80.883323,recarea
718,38.84543,-80.617343,recarea
719,38.144291,-82.381738,recarea
720,37.59507,-81.825447,recarea
721,38.219123,-80.895407,recarea
